district,BALLOTS CAST,BERNIE SANDERS,ELIZABETH WARREN,JOSEPH R. BIDEN,BALLOTS CAST
34,29602,5066,1357,5086,29602
40,143578,24292,7884,23117,143578
41,158538,24123,13936,24476,158538
42,83278,8326,5505,16278,83278
49,111592,22598,6383,14213,111592
61,166554,27844,10122,28853,166554
39,42626,8368,1358,6389,42626
48,112508,24536,3791,15527,112508
67,22596,3754,885,3645,22596
65,114000,22018,3058,18383,114000
69,155308,29395,9656,20651,155308
56,124970,25316,4432,18617,124970
54,118354,31897,6111,9500,118354
64,105494,24468,3379,13766,105494
62,105194,25286,4005,11981,105194
52,210756,53300,19339,17799,210756
51,246652,40237,25514,33571,246652
55,229986,39586,19768,34915,229986
44,209916,36597,20824,27507,209916
46,143332,25179,8753,20977,143332
66,169530,23665,10765,28243,169530
57,89602,21552,2965,10454,89602
53,29774,6745,1122,3568,29774
43,108250,26700,4377,11239,108250
