district,BALLOTS CAST,BERNIE SANDERS,ELIZABETH WARREN,JOSEPH R BIDEN
34,14801,5066,1357,5086
40,71789,24292,7884,23117
41,79269,24123,13936,24476
42,41639,8326,5505,16278
49,55796,22598,6383,14213
61,83277,27844,10122,28853
39,21313,8368,1358,6389
48,56254,24536,3791,15527
67,11298,3754,885,3645
65,57000,22018,3058,18383
69,77654,29395,9656,20651
56,62485,25316,4432,18617
54,59177,31897,6111,9500
64,52747,24468,3379,13766
62,52597,25286,4005,11981
52,105378,53300,19339,17799
51,123326,40237,25514,33571
55,114993,39586,19768,34915
44,104958,36597,20824,27507
46,71666,25179,8753,20977
66,84765,23665,10765,28243
57,44801,21552,2965,10454
53,14887,6745,1122,3568
43,54125,26700,4377,11239
